"display_title" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"45" "Angkor Awakens: A Portrait of Cambodia" "2017-05-05" "2017-05-03" "http://www.nytimes.com/2017/05/03/movies/angkor-awakens-review.html" "" 1
"46" "Annabelle: Creation" "2017-08-11" "2017-08-10" "http://www.nytimes.com/2017/08/10/movies/annabelle-creation-review.html" "R" 0
"47" "Another Evil" "2017-05-05" "2017-05-04" "http://www.nytimes.com/2017/05/04/movies/another-evil-review.html" "" 0
"48" "Apprentice" "2017-03-03" "2017-03-02" "http://www.nytimes.com/2017/03/02/movies/apprentice-review.html" "" 1
"49" "Armed Response" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/armed-response-review.html" "R" 0
"50" "Arsenal" "2017-01-06" "2017-01-05" "http://www.nytimes.com/2017/01/05/movies/arsenal-review-nicolas-cage.html" "R" 0
"51" "As You Are" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/as-you-are-review.html" "" 0
"52" "Ascent" "2017-06-07" "2017-06-06" "http://www.nytimes.com/2017/06/06/movies/ascent-review.html" "" 0
"53" "Atomic Blonde" "2017-07-28" "2017-07-27" "http://www.nytimes.com/2017/07/27/movies/atomic-blonde-review-charlize-theron.html" "R" 0
"54" "Atomica" "2017-03-17" "2017-03-16" "http://www.nytimes.com/2017/03/16/movies/review-atomica-syfy-tom-sizemore-dominic-monaghan.html" "" 0
"55" "Austin Found" "2017-07-07" "2017-07-05" "http://www.nytimes.com/2017/07/05/movies/review-in-austin-found-child-abduction-is-played-for-laughs.html" "" 0
"56" "Baby Driver" "2017-06-28" "2017-06-27" "http://www.nytimes.com/2017/06/27/movies/baby-driver-review-edgar-wright-ansel-elgort.html" "R" 1
"57" "Bad Kids of Crestview Academy" "2017-01-13" "2017-01-12" "http://www.nytimes.com/2017/01/12/movies/bad-kids-of-crestview-academy-review.html" "R" 0
